TIC,TOI,Disposition,R_p,Period_p,Epoch_p,RA,Dec,H_mag,V_mag,M_*_TIC8,R_*_TIC8,Teff_*_TIC8,a/R*,N_pl
332064670,1773.01,KP,2.023,0.736546,1870.692828,133.149214,28.330821,4.265,5.951,0.9,0.96,5225,3.44,1
4897275,1774.01,VP,2.74,16.710042,1872.341155,148.160538,35.111655,6.728,8.25,1.06,1.09,5747,25.67,1
9348006,1775.01,P,8.69,10.240548,2635.364326,150.115134,39.457816,9.802,11.648,0.9,0.84,5189,22.81,1
21535395,1776.01,VP,1.403,2.800991,1871.488566,164.776067,40.983608,6.749,8.26,1.02,0.95,5768,8.91,1
29191624,1777.01,VP,1.826,14.650394,2635.116524,151.807036,46.114977,7.851,9.31,1.06,0.98,5860,26.12,1
39699648,1778.01,P,2.72,6.527423,2594.015851,136.778074,46.672601,7.67,8.99,1.12,1.33,6023,11.49,1
67646988,1779.01,KP,10.842,1.881719,2633.119867,147.769065,35.969296,9.96,15.436,0.28,0.31,3152,13.76,1
99834717,1780.01,KP,10.233,1.706326,2632.745042,165.167426,64.963985,11.029,12.97,0.82,0.9,4937,6.23,1
137881699,1781.01,KP,15.622,2.972077,2633.496924,150.572695,53.950889,11.735,13.014,1.15,1.95,6099,4.68,1
160045097,1782.01,VP,2.47,4.987706,2635.737444,213.080045,74.411621,9.68,12.329,0.68,0.67,4336,16.16,3
160045097,1782.02,VP,2.127,1.829029,2632.816808,213.080045,74.411621,9.68,12.329,0.68,0.67,4336,8.28,3
160045097,1782.03,VPC,2.974,18.755976,2625.059505,213.080045,74.411621,9.68,12.329,0.68,0.67,4336,39.08,3
229938290,1783.01,CPC-,2.282,1.419866,1871.091166,287.680981,64.153342,8.086,9.919,0.94,0.98,5406,5.29,1
241196395,1784.01,APC,6.73,2.093756,2633.75904,153.549856,29.085569,8.93,10.016,1.3,1.23,6390,6.14,1
230386259,1785.01,PPC,4.259,11.002313,2944.890087,285.728564,63.948925,8.978,10.197,1.19,2.87,6086,7.69,1
86280613,1786.01,SEB1,15.628,9.573548,3325.905001,141.721201,61.699082,8.888,9.993,1.33,1.83,6431,11.39,1
372730331,1787.01,BEB?,28.794,8.704667,2627.995561,152.330377,39.162541,9.618,10.787,1.3,1.67,6324,11.66,1
450327768,1788.01,SEB1,10.424,5.34326,1875.04671,160.229484,35.913665,9.347,10.639,1.04,1.26,5708,10.32,1
172518755,1789.01,P,12.374,3.208715,3279.071213,142.743445,26.540165,8.41,9.721,1.1,2.26,5960,4.19,1
310981412,1790.01,FA,2.029,9.62517,1684.16048,161.428064,69.200788,9.49,10.835,1.17,0.93,6109,21.61,1
233684293,1791.01,FA,2.361,48.480822,2755.574206,260.763082,63.11077,8.243,9.6,1.17,2.47,6073,23.91,1
29191596,1792.01,PC,1.288,8.816489,2629.386516,151.720794,45.88354,7.644,9.275,0.97,0.99,5569,17.98,1
304142124,1793.01,P,4.354,55.087,3017.429225,164.859562,-56.623036,6.729,8.62,0.87,0.87,5148,67.07,1
286916251,1794.01,VP,2.966,8.765603,2661.993638,203.397703,49.061136,8.765,10.32,1.02,1.3,5683,13.85,1
135083444,1795.01,NEB,6,2.791791,1899.610227,184.36706,19.840005,9.264,10.501,1.13,1.16,6020,7.49,1
138819293,1796.01,KP,3.812,2.643886,2639.963332,175.546222,26.706572,6.319,10.67,0.42,0.43,3550,14.17,1
368435330,1797.01,P,2.991,3.645155,2631.901476,162.77714,25.641165,7.807,9.182,1.08,1.05,5922,9.75,2
368435330,1797.02,P,1.535,1.037611,2635.926283,162.77714,25.641165,7.807,9.182,1.08,1.05,5922,4.22,2
198153540,1798.01,P,2.27,8.021504,2688.133816,211.094108,46.519399,9.362,11.361,0.87,0.78,5103,20.56,2
198153540,1798.02,P,1.5,0.437807,2691.314372,211.094108,46.519399,9.362,11.361,0.87,0.78,5103,2.96,2
8967242,1799.01,P,1.628,7.093853,1904.815773,167.232962,34.303191,7.416,8.98,1.01,0.96,5690,16.29,1
17993892,1800.01,KP,12.385,4.124483,2632.338336,171.274941,41.027964,10.154,11.459,1,1.26,5643,8.62,1
119584412,1801.01,P,1.973,10.643939,2648.619735,175.576559,23.026855,8.002,11.58,0.54,0.55,3901,30.43,1
138762614,1802.01,VPC,2.507,16.796111,1904.154502,164.254988,24.882426,9.283,12.763,0.57,0.58,3933,39.38,1
144401492,1803.01,VPC+,4.213,12.885863,2659.055645,178.046561,35.171787,9.771,11.871,0.79,0.69,4744,31.06,2
144401492,1803.02,VPC?,2.983,6.293211,2659.815411,178.046561,35.171787,9.771,11.871,0.79,0.69,4744,19.26,2
148679712,1804.01,PC,2.746,4.924637,3364.133409,172.171151,46.480589,9.175,10.634,0.95,1.06,5467,11.28,1
165763244,1805.01,VPC?,2.856,24.050944,2671.142072,232.140084,55.185418,9.66,11.513,0.89,0.86,5313,39.48,1
