pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
WASP-121 b,1.27492504,19.649,0.404,-0.404,48.63613861,367.72747,22.24799,-22.24799,16.52857045
WASP-45 b,3.126089,10.604,0.65,-0.572,16.31384615,306.38812,18.43414,-17.79848,16.62068966
TOI-270 c,5.6605731,2.355,0.064,-0.064,36.796875,6.15,0.37,-0.37,16.62162162
HD 17156 b,21.21663,12.33,0.336,-0.336,36.69642857,1115.5833,66.7443,-66.7443,16.71428571
K2-114 b,11.3909311,10.447,0.347,-0.347,30.10662824,638.8351,38.13941,-38.13941,16.74999954
WASP-91 b,2.798581,11.545,0.448,-0.448,25.77008929,425.8922,25.4264,-25.4264,16.75
CoRoT-9 b,95.272656,11.949,0.841,-0.706,14.20808561,266.9772,15.8915,-15.8915,16.8
TOI-2525 b,23.2856,8.676,0.112,-0.112,77.46428571,26.69759,1.58914,-1.58914,16.80002391
HAT-P-68 b,2.29840551,12.016,0.135,-0.135,89.00740741,230.10892,13.66669,-13.66669,16.8372093
Kepler-432 b,52.501129,12.834,0.404,-0.437,29.36842105,1719.4603,101.7056,-57.2094,16.90625
HAT-P-28 b,3.257215,13.585,1.267,-0.919,10.72217837,198.953,11.759,-11.759,16.91921082
WASP-103 b,0.925542,17.127,0.818,-0.527,20.93765281,473.547,27.968,-27.968,16.93174342
NGTS-9 b,4.43527,11.994,0.673,-0.673,17.82169391,921.707,54.0311,-54.0311,17.05882353
HATS-51 b,3.3488702,15.805,2.13,-2.13,7.420187793,244.09344,14.30235,-14.30235,17.06666667
HAT-P-51 b,4.2180278,14.493,0.605,-0.605,23.9553719,98.20947,5.72094,-5.72094,17.16666667
KELT-16 b,0.9689951,15.861,0.942,-0.751,16.83757962,874.0325,50.8528,-47.6745,17.1875
CoRoT-10 b,13.2406,10.87,0.78,-0.78,13.93589744,874,50.85,-50.85,17.18780728
HATS-56 b,4.324799,18.921,0.437,-0.616,30.71590909,191.33366,11.12405,-11.12405,17.2
HATS-16 b,2.686502,14.572,1.681,-1.681,8.668649613,1039.3041,60.3877,-60.3877,17.21052632
HD 136352 c,27.59221,2.916,0.075,-0.073,38.88,11.24,0.65,-0.63,17.29230769
TOI-1431 b,2.650237,16.701,0.56,-0.56,29.82321429,991.62463,57.20911,-57.20911,17.33333432
Gaia-2 b,3.6915224,14.818,0.146,-0.146,101.4931507,259.66581,14.93794,-14.93794,17.38297315
TOI-2000 c,9.127055,8.14,0.31,-0.3,26.25806452,81.7,4.7,-4.6,17.38297872
KELT-10 b,4.1662739,15.681,0.773,-0.549,20.28589909,215.80657,12.39537,-12.07754,17.41025641
Kepler-6 b,3.2346996,14.617,0.202,-0.37,39.50540541,212.31044,12.07754,-11.12405,17.57894737
HAT-P-12 b,3.2130598,10.749,0.325,-0.235,33.07384615,67.059,3.814,-3.814,17.58232826
WASP-43 b,0.813475,10.424,0.785,-1.009,10.33102081,565.714,31.782,-31.782,17.7998238
TOI-677 b,11.2366,13.115,0.336,-0.336,39.0327381,392.83788,21.93027,-21.29461,17.91304348
WASP-141 b,3.310651,13.563,0.897,-0.897,15.12040134,854.9627,47.6745,-47.6745,17.93333333
K2-19 c,11.8993,4.1,0.2,-0.2,20.5,10.8,0.6,-0.6,18
WASP-105 b,7.87288,10.761,0.336,-0.336,32.02678571,572.094,31.783,-31.783,18
HATS-30 b,3.1743516,13.171,0.583,-0.583,22.59176672,224.38798,12.39537,-12.39537,18.1025641
TOI-5153 b,20.33003,11.882,0.448,-0.448,26.52232143,1036.12061,57.20911,-54.03083,18.1111122
